date,day_of_week,expiry_type,chart,nifty_open,nifty_high,nifty_low,nifty_close,vix_open,vix_close,vix_predicted_move_pct,actual_range_pct,actual_open_close_pct,intraday_high_pct,intraday_low_pct,range_vs_vix_ratio,diff_pct,vix_accuracy,move_direction,close_in_prev_range
2024-10-03,Thursday,weekly,▅↓▁↑█↓▁ 📉,25452.85,25639.45,25230.3,25250.1,11.99,13.17,0.63,1.61,0.8,0.73,0.87,2.56,0.98,Underestimated,Top to Down,No
2024-10-10,Thursday,weekly,▅↓▁↑█↓▂ 📉,25067.05,25134.05,24979.4,24998.45,14.12,13.5,0.74,0.62,0.27,0.27,0.35,0.83,-0.12,Overestimated,Top to Down,Yes
2024-10-17,Thursday,weekly,█↓▁↑█↓▁ 📉,25027.4,25029.5,24728.9,24749.85,13.05,13.39,0.68,1.2,1.11,0.01,1.19,1.76,0.52,Underestimated,Top to Down,No
2024-10-24,Thursday,weekly,▅↓▁↑█↓▄ 📉,24412.7,24480.65,24341.2,24399.4,14.62,13.97,0.77,0.57,0.05,0.28,0.29,0.75,-0.19,Overestimated,Top to Down,Yes
2024-10-31,Thursday,monthly,▇↓▁↑█↓▂ 📉,24349.85,24372.45,24172.6,24205.35,15.51,15.55,0.81,0.82,0.59,0.09,0.73,1.01,0.01,Overestimated,Top to Down,No
2024-11-07,Thursday,weekly,█↓▁↑█↓▁ 📉,24489.6,24503.35,24179.05,24199.35,14.87,14.94,0.78,1.32,1.19,0.06,1.27,1.7,0.55,Underestimated,Top to Down,No
2024-11-14,Thursday,weekly,▃↓▁↑█↓▃ 📉,23542.15,23675.9,23484.15,23532.7,15.44,14.78,0.81,0.81,0.04,0.57,0.25,1.01,0.01,Overestimated,Top to Down,Yes
2024-11-21,Thursday,weekly,▇↓▁↑█↓▃ 📉,23488.45,23507.3,23263.15,23349.9,15.66,15.99,0.82,1.04,0.59,0.08,0.96,1.27,0.22,Overestimated,Top to Down,No
2024-11-28,Thursday,monthly,▇↓▁↑█↓▂ 📉,24274.15,24345.75,23873.35,23914.15,14.63,15.21,0.77,1.95,1.48,0.29,1.65,2.54,1.18,Underestimated,Top to Down,No
2024-12-05,Thursday,weekly,▄↓▁↑█↓▆ 📈,24539.15,24857.75,24295.55,24708.4,14.45,14.53,0.76,2.29,0.69,1.3,0.99,3.03,1.53,Underestimated,Down to Up,No
2024-12-12,Thursday,weekly,▅↓▁↑█↓▂ 📉,24604.45,24675.25,24527.95,24548.7,13.27,13.19,0.69,0.6,0.23,0.29,0.31,0.86,-0.1,Overestimated,Top to Down,No
2024-12-19,Thursday,weekly,▁↑▁↑█↓▅ 📈,23877.15,24004.9,23870.3,23951.7,14.37,14.51,0.75,0.56,0.31,0.54,0.03,0.75,-0.19,Overestimated,Down to Up,No
2024-12-26,Thursday,monthly,▅↓▁↑█↓▄ 📉,23775.8,23854.5,23653.6,23750.2,13.18,14.04,0.69,0.84,0.11,0.33,0.51,1.22,0.15,Overestimated,Top to Down,Yes
2025-01-02,Thursday,weekly,▁↑▁↑█↓▇ 📈,23783.0,24226.7,23751.55,24188.65,14.45,13.74,0.76,2.0,1.71,1.87,0.13,2.64,1.24,Underestimated,Down to Up,No
