date,day_of_week,expiry_type,chart,sensex_open,sensex_high,sensex_low,sensex_close,vix_open,vix_close,vix_predicted_move_pct,actual_range_pct,actual_open_close_pct,intraday_high_pct,intraday_low_pct,range_vs_vix_ratio,diff_pct,vix_accuracy
2024-10-11,Friday,weekly,▄↓▁↑█↓▂ 📉,81478.49,81671.38,81304.15,81381.36,13.5,13.22,0.69,0.45,-0.12,0.24,-0.21,0.65,-0.24,Overestimated
2024-10-18,Friday,weekly,▃↓▁↑█↓▇ 📈,80749.26,81391.15,80409.25,81224.75,13.39,13.04,0.68,1.22,0.59,0.79,-0.42,1.78,0.53,Underestimated
2024-10-25,Friday,monthly,█↓▁↑█↓▃ 📉,80187.34,80253.19,79137.98,79402.29,13.97,14.63,0.77,1.39,-0.98,0.08,-1.31,1.82,0.62,Underestimated
2024-11-01,Friday,weekly,█↓▁↑█↓▂ 📉,80023.75,80023.75,79655.55,79724.12,15.55,15.9,0.83,0.46,-0.37,0.0,-0.46,0.55,-0.37,Overestimated
2024-11-08,Friday,weekly,▆↓▁↑█↓▅ 📉,79611.9,79807.26,79117.37,79486.32,14.94,14.47,0.76,0.87,-0.16,0.25,-0.62,1.14,0.11,Overestimated
2024-11-15,Friday,weekly,▃↓▁↑█↓▃ 📉,77636.94,78055.52,77424.81,77580.31,15.44,14.78,0.77,0.81,-0.07,0.54,-0.27,1.05,0.04,Overestimated
2024-11-22,Friday,weekly,▁↓▁↑█↓█ 📈,77349.74,79218.19,77226.69,79117.11,15.99,16.1,0.84,2.57,2.28,2.42,-0.16,3.05,1.73,Underestimated
2024-11-29,Friday,monthly,▁↓▁↑█↓▇ 📈,79032.99,79923.9,79026.18,79802.79,15.21,14.43,0.76,1.14,0.97,1.13,-0.01,1.5,0.38,Overestimated
2024-12-06,Friday,weekly,▇↓▁↑█↓▄ 📉,81887.54,81925.91,81506.19,81709.12,14.53,14.14,0.74,0.51,-0.22,0.05,-0.47,0.69,-0.23,Overestimated
2024-12-13,Friday,weekly,▅↓▁↑█↓█ 📈,81212.45,82213.92,80082.82,82133.12,13.19,13.05,0.68,2.62,1.13,1.23,-1.39,3.84,1.94,Underestimated
2024-12-20,Friday,weekly,▇↓▁↑█↓▂ 📉,79335.48,79587.15,77874.59,78041.59,14.51,15.07,0.79,2.16,-1.63,0.32,-1.84,2.74,1.37,Underestimated
2024-12-27,Friday,monthly,▁↓▁↑█↓▃ 📈,78607.62,79043.15,78598.55,78699.07,14.04,13.24,0.69,0.57,0.12,0.55,-0.01,0.82,-0.13,Overestimated
2025-01-07,Tuesday,weekly,▂↓▁↑█↓▅ 📈,78019.8,78452.74,77925.09,78199.11,15.65,14.66,0.77,0.68,0.23,0.55,-0.12,0.88,-0.09,Overestimated
2025-01-14,Tuesday,weekly,▁→▁↑█↓▃ 📈,76335.75,76835.61,76335.75,76499.63,16.0,15.47,0.81,0.65,0.21,0.65,0.0,0.81,-0.16,Overestimated
2025-01-21,Tuesday,weekly,█↓▁↑█↓▂ 📉,77261.72,77337.36,75641.87,75838.36,16.42,17.06,0.89,2.19,-1.84,0.1,-2.1,2.46,1.3,Underestimated
2025-01-28,Tuesday,monthly,▁↓▁↑█↓▃ 📈,75659.0,76512.96,75622.88,75901.41,18.13,18.2,0.95,1.18,0.32,1.13,-0.05,1.23,0.22,Overestimated
2025-02-04,Tuesday,weekly,▃↓▁↑█↓█ 📈,77687.6,78658.59,77402.37,78583.81,14.35,14.02,0.73,1.62,1.15,1.25,-0.37,2.2,0.88,Underestimated
