date,product,buy_contracts,buy_amount_cr,sell_contracts,sell_amount_cr,oi_contracts,oi_amount_cr
2026-08-17,Stock Options,303796.0,22502.13,309926.0,23034.52,1221562.0,83897.28
2026-08-18,Commodity Futures,34890.0,1630.75,37679.0,1479.16,88775.0,2325.2
2026-08-18,Commodity Options,1494764.0,54202.94,1535384.0,52753.65,129227.0,3652.5
2026-08-18,Currency Futures,57477.0,549.15,2462.0,24.59,830630.0,8.04
2026-08-18,Currency Options,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-18,Index Futures,5925.0,974.59,10837.0,1763.53,232324.0,38201.95
2026-08-18,Index Options,9224551.0,1465961.27,9173208.0,1457813.27,3225841.0,516803.86
2026-08-18,Interest Rate Futures,0.0,0.0,0.0,0.0,3830.0,76.22
2026-08-18,Stock Futures,189295.0,12975.58,185588.0,12829.03,6467412.0,440040.55
2026-08-18,Stock Options,299804.0,21598.43,308301.0,22027.06,1261697.0,86281.23
2026-08-19,Commodity Futures,46512.0,1442.82,21707.0,986.28,61684.0,1440.22
2026-08-19,Commodity Options,351068.0,10415.67,380623.0,11458.76,146162.0,5166.94
2026-08-19,Currency Futures,62879.0,601.41,1071.0,10.95,892438.0,8.63
2026-08-19,Currency Options,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-19,Index Futures,7695.0,1234.59,20258.0,3262.39,245293.0,40028.35
2026-08-19,Index Options,14299230.0,2259451.12,14476830.0,2286535.51,2804907.0,448060.57
2026-08-19,Interest Rate Futures,0.0,0.0,0.0,0.0,3830.0,76.16
2026-08-19,Stock Futures,261506.0,17969.04,284119.0,19722.04,6504613.0,439422.7
2026-08-19,Stock Options,359053.0,25803.67,373521.0,26944.96,1266567.0,85980.98
2026-08-20,Commodity Futures,31910.0,1070.81,17592.0,701.0,37879.0,1032.51
2026-08-20,Commodity Options,399661.0,11620.08,420121.0,12231.94,168625.0,5712.6
2026-08-20,Currency Futures,60001.0,574.67,26954.0,258.85,925461.0,8.95
2026-08-20,Currency Options,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-20,Index Futures,8975.0,1438.09,24658.0,3936.45,259710.0,42183.43
2026-08-20,Index Options,8710625.0,1365372.21,8758349.0,1372643.44,3791800.0,600673.38
2026-08-20,Interest Rate Futures,0.0,0.0,0.0,0.0,3830.0,76.17
2026-08-20,Stock Futures,411499.0,26817.41,399725.0,26369.99,6544801.0,440700.98
2026-08-20,Stock Options,412456.0,29191.17,427473.0,30288.49,1232740.0,82956.89
2026-08-21,Commodity Futures,21010.0,869.06,39074.0,1414.8,63107.0,1729.53
2026-08-21,Commodity Options,487046.0,12248.16,478633.0,12281.76,194104.0,7387.05
2026-08-21,Currency Futures,36714.0,352.88,34562.0,330.72,927633.0,8.97
2026-08-21,Currency Options,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-21,Index Futures,44413.0,7230.89,46703.0,7591.14,260932.0,42641.44
2026-08-21,Index Options,15243478.0,2379258.89,15591567.0,2434163.79,3121372.0,500759.16
2026-08-21,Interest Rate Futures,0.0,0.0,0.0,0.0,3830.0,75.96
2026-08-21,Stock Futures,2246403.0,151520.29,2197242.0,148276.83,6595118.0,448372.02
2026-08-21,Stock Options,415312.0,29655.39,416025.0,29469.94,1162789.0,78293.1
2026-08-24,Commodity Futures,23170.0,821.86,11804.0,456.55,57774.0,1634.58
2026-08-24,Commodity Options,373381.0,11646.69,383735.0,11887.26,183986.0,7115.77
2026-08-24,Currency Futures,52101.0,500.96,96549.0,924.88,882885.0,8.55
2026-08-24,Currency Options,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24,Index Futures,46479.0,7836.71,44253.0,7478.2,262154.0,42874.3
2026-08-24,Index Options,4309188.0,687094.2,4334846.0,690948.34,3377668.0,542391.75
2026-08-24,Interest Rate Futures,0.0,0.0,0.0,0.0,3830.0,75.96
2026-08-24,Stock Futures,2245382.0,153410.81,2229921.0,152552.34,6629223.0,451138.69
2026-08-24,Stock Options,502204.0,35433.99,506311.0,35639.47,1140878.0,76822.09
2026-08-25,Commodity Futures,37142.0,1336.27,35297.0,1250.22,52129.0,1457.4
2026-08-25,Commodity Options,645014.0,18740.65,684781.0,19314.59,99355.0,4383.36
2026-08-25,Currency Futures,61535.0,590.36,33436.0,321.01,910984.0,8.81
2026-08-25,Currency Options,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-25,Index Futures,70339.0,11546.86,79880.0,13113.74,273733.0,44602.86
2026-08-25,Index Options,9453170.0,1508861.2,9320546.0,1486781.6,3905299.0,625922.15
2026-08-25,Interest Rate Futures,1129.0,22.39,1129.0,22.36,3830.0,75.93
2026-08-25,Stock Futures,1550882.0,105380.15,1548825.0,105175.64,6573802.0,447145.48
2026-08-25,Stock Options,626207.0,44830.87,636931.0,45878.46,1059002.0,71181.14
2026-08-26,Commodity Futures,30139.0,1172.54,49081.0,1635.91,51716.0,1544.42
2026-08-26,Commodity Options,281758.0,9142.44,280368.0,9048.34,128602.0,5426.01
2026-08-26,Currency Futures,362235.0,3478.56,384719.0,3681.85,888500.0,8.59
2026-08-26,Currency Options,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-26,Index Futures,45071.0,7393.68,54697.0,8937.93,232116.0,38201.0
2026-08-26,Index Options,19238870.0,3080269.37,19104193.0,3060906.49,2364029.0,376797.25
2026-08-26,Interest Rate Futures,2641.0,53.07,2641.0,52.99,6968.0,139.12
2026-08-26,Stock Futures,499764.0,34978.81,455763.0,31495.49,6269384.0,429273.42
2026-08-26,Stock Options,198339.0,14229.29,213833.0,15174.07,271457.0,17166.22
