date,day_of_week,expiry_type,csv_move_direction,afternoon_direction,concordance,vix_open,vix_close,vix_bucket,t1_fii_stance,t1_pro_stance,fii_composite,fii_view,pro_composite,pro_view,price_at_2pm,session_close,inflection_time,inflection_price,move_from_inflection_pct,move_from_2pm_pct
2022-02-24,Thursday,monthly,Top to Down,Top to Down,Match,24.54,31.98,High (>20),FII Hedging (bought puts >20K),PRO Mildly Bearish,-40510,Mildly Bearish,-123007,Strong Bearish,16482.35,16217.75,14:00,16499.55,1.708,1.605
2022-03-03,Thursday,weekly,Top to Down,Top to Down,Match,29.23,28.16,High (>20),FII Bearish (sold fut >10K),PRO Confident (sold puts >20K),-73379,Bearish,-169206,Strong Bearish,16562.15,16508.75,14:35,16563.65,0.331,0.322
2022-03-10,Thursday,weekly,Top to Down,Down to Up,Mismatch,27.47,25.58,High (>20),FII Neutral,PRO Confident (sold puts >20K),48822,Mildly Bullish,97888,Bullish,16535.35,16566.3,14:05,16448.1,0.719,0.187
2022-03-17,Thursday,weekly,Down to Up,Top to Down,Mismatch,24.12,22.61,High (>20),FII Mildly Bullish,PRO Confident (sold puts >20K),63193,Bullish,211934,Strong Bullish,17311.75,17299.4,14:05,17344.6,0.261,0.071
2022-03-24,Thursday,weekly,Down to Up,Down to Up,Match,24.75,23.93,High (>20),FII Bearish (sold fut >10K),PRO Mildly Bearish,-24872,Neutral,-196958,Strong Bearish,17180.5,17197.3,14:00,17180.5,0.098,0.098
2022-03-31,Thursday,monthly,Top to Down,Top to Down,Match,20.61,20.56,High (>20),FII Mildly Bullish,PRO Confident (sold puts >20K),48938,Mildly Bullish,14430,Neutral,17481.8,17468.75,14:30,17490.9,0.127,0.075
2022-04-07,Thursday,weekly,Top to Down,Top to Down,Match,19.02,19.0,Medium (15-20),FII Neutral,PRO Hedging (bought puts >20K),-16691,Neutral,-121945,Strong Bearish,17671.95,17655.15,14:00,17694.35,0.222,0.095
2022-04-13,Wednesday,weekly,Top to Down,Top to Down,Match,18.16,17.79,Medium (15-20),FII Very Bearish (sold fut >10K + bought puts >20K),PRO Confident (sold puts >20K),-70269,Bearish,6780,Neutral,17491.7,17467.45,14:15,17528.55,0.349,0.139
2022-04-21,Thursday,weekly,Down to Up,Down to Up,Match,18.67,17.85,Medium (15-20),FII Neutral,PRO Confident (sold puts >20K),19213,Neutral,72522,Bullish,17360.75,17400.1,14:00,17357.0,0.248,0.227
2022-04-28,Thursday,monthly,Down to Up,Top to Down,Mismatch,20.61,19.38,High (>20),FII Very Bearish (sold fut >10K + bought puts >20K),PRO Hedging (bought puts >20K),-39185,Mildly Bearish,-165710,Strong Bearish,17285.6,17231.35,14:50,17322.5,0.526,0.314
