date,day_of_week,expiry_type,csv_move_direction,afternoon_direction,concordance,vix_open,vix_close,vix_bucket,t1_fii_stance,t1_pro_stance,fii_composite,fii_view,pro_composite,pro_view,price_at_2pm,session_close,inflection_time,inflection_price,move_from_inflection_pct,move_from_2pm_pct
2021-06-03,Thursday,weekly,Down to Up,Down to Up,Match,17.21,15.75,Medium (15-20),FII Neutral,PRO Neutral,-16462,Neutral,4822,Neutral,15654.9,15688.9,14:50,15645.3,0.279,0.217
2021-06-10,Thursday,weekly,Down to Up,Down to Up,Match,14.75,15.0,Low (<15),FII Confident (sold puts >20K),PRO Hedging (bought puts >20K),13885,Neutral,-89598,Bearish,15727.15,15745.15,14:00,15719.05,0.166,0.114
2021-06-17,Thursday,weekly,Down to Up,Top to Down,Mismatch,14.87,15.29,Low (<15),FII Hedging (bought puts >20K),PRO Hedging (bought puts >20K),-42355,Mildly Bearish,-129047,Strong Bearish,15708.7,15681.7,14:00,15709.85,0.179,0.172
2021-06-24,Thursday,monthly,Down to Up,Flat,Flat,15.37,15.1,Medium (15-20),FII Hedging (bought puts >20K),PRO Mildly Bearish,-13293,Neutral,-69995,Bearish,15792.45,15793.7,,,0.0,0.008
2021-07-01,Thursday,weekly,Top to Down,Top to Down,Match,13.05,12.84,Low (<15),FII Neutral,PRO Neutral,11880,Neutral,-18528,Neutral,15706.8,15693.25,14:10,15718.65,0.162,0.086
2021-07-08,Thursday,weekly,Top to Down,Down to Up,Mismatch,12.21,13.56,Low (<15),FII Neutral,PRO Confident (sold puts >20K),607,Neutral,85102,Bullish,15716.55,15728.0,14:35,15683.4,0.284,0.073
2021-07-15,Thursday,weekly,Down to Up,Top to Down,Mismatch,12.59,12.27,Low (<15),FII Neutral,PRO Neutral,518,Neutral,-7136,Neutral,15944.15,15920.7,14:20,15952.15,0.197,0.147
2021-07-22,Thursday,weekly,Down to Up,Down to Up,Match,13.21,11.89,Low (<15),FII Neutral,PRO Neutral,0,Neutral,0,Neutral,15802.0,15827.7,14:50,15768.85,0.373,0.163
2021-07-29,Thursday,monthly,Down to Up,Top to Down,Mismatch,13.69,12.95,Low (<15),FII Neutral,PRO Bearish (sold fut >10K),-1618,Neutral,10854,Neutral,15814.9,15784.85,14:00,15815.65,0.195,0.19
2021-08-05,Thursday,weekly,Down to Up,Top to Down,Mismatch,13.21,12.87,Low (<15),FII Confident (sold puts >20K),PRO Mildly Bearish,9091,Neutral,-31680,Mildly Bearish,16321.25,16281.8,14:15,16348.45,0.408,0.242
2021-08-12,Thursday,weekly,Down to Up,Flat,Flat,12.71,12.37,Low (<15),FII Bearish (sold fut >10K),PRO Hedging (bought puts >20K),-21441,Neutral,-54013,Bearish,16361.0,16361.35,,,0.0,0.002
2021-08-18,Wednesday,weekly,Top to Down,Top to Down,Match,13.41,12.91,Low (<15),FII Hedging (bought puts >20K),PRO Neutral,-50517,Bearish,-4203,Neutral,16581.8,16550.4,15:05,16590.3,0.241,0.189
2021-08-26,Thursday,monthly,Down to Up,Top to Down,Mismatch,13.5,13.54,Low (<15),FII Neutral,PRO Hedging (bought puts >20K),-12735,Neutral,-102203,Strong Bearish,16639.7,16631.95,14:05,16653.05,0.127,0.047
2021-09-02,Thursday,weekly,Down to Up,Down to Up,Match,14.19,14.24,Low (<15),FII Confident (sold puts >20K),PRO Hedging (bought puts >20K),-36484,Mildly Bearish,-203061,Strong Bearish,17194.25,17233.85,14:00,17194.2,0.231,0.23
2021-09-09,Thursday,weekly,Down to Up,Down to Up,Match,14.41,13.94,Low (<15),FII Confident (sold puts >20K),PRO Confident (sold puts >20K),-1977,Neutral,117207,Strong Bullish,17341.0,17358.1,14:40,17320.8,0.215,0.099
2021-09-16,Thursday,weekly,Down to Up,Down to Up,Match,13.73,14.41,Low (<15),FII Confident (sold puts >20K),PRO Bearish (sold fut >10K),67270,Bullish,156657,Strong Bullish,17600.55,17627.55,14:00,17594.5,0.188,0.153
2021-09-23,Thursday,weekly,Down to Up,Down to Up,Match,16.49,16.6,Medium (15-20),FII Very Bearish (sold fut >10K + bought puts >20K),PRO Mildly Bearish,-28369,Neutral,-51007,Bearish,17769.55,17826.3,14:00,17767.7,0.33,0.319
2021-09-30,Thursday,monthly,Top to Down,Top to Down,Match,18.84,18.4,Medium (15-20),FII Very Bearish (sold fut >10K + bought puts >20K),PRO Confident (sold puts >20K),-51742,Bearish,-25004,Neutral,17671.9,17608.65,14:00,17672.8,0.363,0.358
2021-10-07,Thursday,weekly,Top to Down,Top to Down,Match,17.33,16.16,Medium (15-20),FII Hedging (bought puts >20K),PRO Hedging (bought puts >20K),-40076,Mildly Bearish,-243096,Strong Bearish,17847.35,17797.15,14:05,17854.6,0.322,0.281
2021-10-14,Thursday,weekly,Down to Up,Down to Up,Match,16.1,15.77,Medium (15-20),FII Mildly Bullish,PRO Confident (sold puts >20K),43691,Mildly Bullish,20157,Neutral,18294.0,18339.05,14:00,18293.1,0.251,0.246
2021-10-21,Thursday,weekly,Top to Down,Down to Up,Mismatch,18.31,18.04,Medium (15-20),FII Mildly Bearish,PRO Hedging (bought puts >20K),-46085,Mildly Bearish,-84192,Bearish,18095.8,18219.6,14:25,18048.75,0.947,0.684
2021-10-28,Thursday,monthly,Top to Down,Top to Down,Match,16.83,17.91,Medium (15-20),FII Very Bearish (sold fut >10K + bought puts >20K),PRO Hedging (bought puts >20K),-64534,Bearish,-215175,Strong Bearish,17947.45,17862.9,14:15,17966.55,0.577,0.471
2021-11-11,Thursday,weekly,Top to Down,Down to Up,Mismatch,16.31,16.35,Medium (15-20),FII Neutral,PRO Bearish (sold fut >10K),-36545,Mildly Bearish,-65371,Bearish,17851.7,17885.65,14:15,17799.5,0.484,0.19
2021-11-18,Thursday,weekly,Top to Down,Top to Down,Match,14.98,14.86,Low (<15),FII Neutral,PRO Mildly Bearish,10546,Neutral,-32699,Mildly Bearish,17806.95,17745.25,14:55,17832.4,0.489,0.346
2021-11-25,Thursday,monthly,Down to Up,Down to Up,Match,17.1,16.66,Medium (15-20),FII Neutral,PRO Mildly Bearish,11029,Neutral,-43323,Mildly Bearish,17496.6,17547.0,14:00,17489.15,0.331,0.288
2021-12-02,Thursday,weekly,Down to Up,Down to Up,Match,19.45,18.09,Medium (15-20),FII Mildly Bullish,PRO Confident (sold puts >20K),57431,Bullish,159648,Strong Bullish,17315.45,17401.5,14:05,17280.65,0.699,0.497
2021-12-09,Thursday,weekly,Top to Down,Flat,Flat,17.27,16.6,Medium (15-20),FII Confident (sold puts >20K),PRO Confident (sold puts >20K),4551,Neutral,175738,Strong Bullish,17503.95,17502.65,,,0.0,0.007
2021-12-16,Thursday,weekly,Top to Down,Down to Up,Mismatch,17.22,15.9,Medium (15-20),FII Hedging (bought puts >20K),PRO Hedging (bought puts >20K),-1535,Neutral,-89196,Bearish,17265.1,17285.6,14:45,17185.35,0.583,0.119
2021-12-23,Thursday,weekly,Down to Up,Top to Down,Mismatch,16.58,15.83,Medium (15-20),FII Confident (sold puts >20K),PRO Confident (sold puts >20K),11900,Neutral,149948,Strong Bullish,17069.4,17051.35,15:10,17095.25,0.257,0.106
2021-12-30,Thursday,monthly,Down to Up,Top to Down,Mismatch,16.24,16.57,Medium (15-20),FII Hedging (bought puts >20K),PRO Hedging (bought puts >20K),-30862,Mildly Bearish,-129759,Strong Bearish,17243.15,17228.95,14:00,17244.9,0.092,0.082
2022-01-06,Thursday,weekly,Top to Down,Down to Up,Mismatch,17.23,17.98,Medium (15-20),FII Neutral,PRO Confident (sold puts >20K),-990,Neutral,-8773,Neutral,17710.75,17746.0,14:05,17709.4,0.207,0.199
2022-01-13,Thursday,weekly,Down to Up,Down to Up,Match,17.18,16.7,Medium (15-20),FII Neutral,PRO Confident (sold puts >20K),-253,Neutral,39311,Mildly Bullish,18234.5,18258.55,14:35,18203.9,0.3,0.132
2022-01-20,Thursday,weekly,Top to Down,Down to Up,Mismatch,17.82,17.79,Medium (15-20),FII Very Bearish (sold fut >10K + bought puts >20K),PRO Confident (sold puts >20K),-36349,Mildly Bearish,-100225,Strong Bearish,17686.0,17782.95,14:40,17648.85,0.76,0.548
2022-02-03,Thursday,weekly,Top to Down,Top to Down,Match,18.65,19.16,Medium (15-20),FII Mildly Bullish,PRO Bearish (sold fut >10K),55864,Bullish,210098,Strong Bullish,17606.8,17520.25,14:30,17641.35,0.686,0.492
2022-02-10,Thursday,weekly,Down to Up,Top to Down,Mismatch,18.56,17.71,Medium (15-20),FII Mildly Bullish,PRO Confident (sold puts >20K),82682,Bullish,229790,Strong Bullish,17613.45,17586.95,14:15,17639.25,0.296,0.15
2022-02-17,Thursday,weekly,Top to Down,Top to Down,Match,20.59,22.01,High (>20),FII Neutral,PRO Hedging (bought puts >20K),13284,Neutral,-184892,Strong Bearish,17371.15,17280.15,14:00,17391.9,0.643,0.524
