Date,fii_fut_idx_net,fii_call_net,fii_put_net,FII_Direction,DII_Direction,Pro_Direction,Client_Direction,Nifty_Close,Nifty_Change_Pct,Market_Direction,FII_Correct
2025-10-24,-106547,53446,262300,Neutral,Bullish,Bullish,Bearish,25795.150390625,0.66,Bullish,
2025-10-27,-107632,49704,231924,Bullish,Neutral,Bullish,Bearish,25966.05078125,-0.11,Bearish,Incorrect
2025-10-28,-92166,-14133,178320,Bullish,Neutral,Neutral,Neutral,25936.19921875,0.45,Bullish,Correct
2025-10-29,-98314,5107,147643,Bullish,Bullish,Bullish,Bearish,26053.900390625,-0.68,Bearish,Incorrect
2025-10-30,-110448,-22567,222315,Neutral,Bullish,Neutral,Neutral,25877.849609375,-0.6,Bearish,
2025-10-31,-118673,10856,240084,Bullish,Bullish,Neutral,Neutral,25722.099609375,0.16,Bullish,Correct
2025-11-03,-124827,9676,218944,Bullish,Bullish,Neutral,Bearish,25763.349609375,-0.64,Bearish,Incorrect
2025-11-04,-135218,11181,243162,Neutral,Bullish,Neutral,Neutral,25597.650390625,-0.34,Bearish,
2025-11-06,-137854,-20332,244052,Neutral,Bullish,Bullish,Neutral,25509.69921875,-0.07,Bearish,
2025-11-07,-152091,11608,275667,Neutral,Bullish,Bullish,Bearish,25492.30078125,0.32,Bullish,
2025-11-10,-156707,-11044,251578,Neutral,Neutral,Neutral,Neutral,25574.349609375,0.47,Bullish,
2025-11-11,-159830,1836,224249,Bullish,Bullish,Bullish,Bearish,25694.94921875,0.7,Bullish,Correct
2025-11-12,-162240,15227,178108,Bullish,Bullish,Bullish,Bearish,25875.80078125,0.01,Bullish,Correct
2025-11-13,-159947,15167,219887,Neutral,Neutral,Bearish,Neutral,25879.150390625,0.12,Bullish,
2025-11-14,-169619,20202,266690,Neutral,Bullish,Neutral,Neutral,25910.05078125,0.4,Bullish,
2025-11-17,-169285,31435,230962,Bullish,Neutral,Bullish,Bearish,26013.44921875,-0.4,Bearish,Incorrect
2025-11-18,-168789,-13812,230801,Neutral,Bullish,Neutral,Neutral,25910.05078125,0.55,Bullish,
2025-11-19,-167571,22528,156818,Bullish,Neutral,Bullish,Bearish,26052.650390625,0.54,Bullish,Correct
2025-11-20,-165565,56530,187380,Bullish,Bullish,Bullish,Bearish,26192.150390625,-0.47,Bearish,Incorrect
2025-11-21,-169847,43648,282285,Neutral,Neutral,Neutral,Neutral,26068.150390625,-0.42,Bearish,
2025-11-24,-161697,5080,289017,Neutral,Neutral,Neutral,Neutral,25959.5,-0.29,Bearish,
2025-11-25,-94689,-51812,258250,Bullish,Neutral,Bullish,Bearish,25884.80078125,1.24,Bullish,Correct
2025-11-26,-90747,21468,151051,Bullish,Neutral,Bullish,Bearish,26205.30078125,0.04,Bullish,Correct
2025-11-27,-87263,22381,196796,Neutral,Neutral,Neutral,Neutral,26215.55078125,-0.05,Bearish,
2025-11-28,-87596,-4251,251004,Neutral,Bullish,Neutral,Neutral,26202.94921875,-0.1,Bearish,
2025-12-01,-87170,-12587,265161,Neutral,Neutral,Neutral,Neutral,26175.75,-0.55,Bearish,
2025-12-02,-99859,-26530,265296,Neutral,Neutral,Bullish,Neutral,26032.19921875,-0.18,Bearish,
2025-12-03,-113469,-10959,291072,Neutral,Neutral,Neutral,Neutral,25986.0,0.18,Bullish,
2025-12-04,-122530,-37160,290799,Neutral,Bullish,Bullish,Bearish,26033.75,0.59,Bullish,
2025-12-05,-121302,14369,258172,Bullish,Bullish,Bullish,Bearish,26186.44921875,-0.86,Bearish,Incorrect
2025-12-08,-138529,-114170,331461,Neutral,Bullish,Bearish,Neutral,25960.55078125,-0.47,Bearish,
2025-12-09,-142498,-42900,314190,Bullish,Bullish,Neutral,Bearish,25839.650390625,-0.32,Bearish,Incorrect
2025-12-10,-148339,-33747,314450,Bullish,Bullish,Bearish,Neutral,25758.0,0.55,Bullish,Correct
2025-12-11,-146984,-33494,264917,Bullish,Bullish,Bullish,Bearish,25898.55078125,0.57,Bullish,Correct
2025-12-12,-150416,16124,248484,Bullish,Bullish,Neutral,Bearish,26046.94921875,-0.08,Bearish,Incorrect
2025-12-15,-147925,-5619,235733,Neutral,Neutral,Neutral,Bearish,26027.30078125,-0.64,Bearish,
2025-12-16,-156845,-27383,291214,Neutral,Bullish,Bearish,Neutral,25860.099609375,-0.16,Bearish,
2025-12-17,-164650,-47057,285226,Neutral,Bullish,Neutral,Neutral,25818.55078125,-0.01,Bearish,
2025-12-18,-165482,-41468,271232,Bullish,Bullish,Bullish,Bearish,25815.55078125,0.58,Bullish,Correct
2025-12-19,-158785,16685,223109,Bullish,Neutral,Bullish,Bearish,25966.400390625,0.79,Bullish,Correct
2025-12-22,-144701,58157,200696,Bullish,Neutral,Bullish,Bearish,26172.400390625,0.02,Bullish,Correct
2025-12-23,-133758,21392,204129,Neutral,Neutral,Neutral,Neutral,26177.150390625,-0.13,Bearish,
2025-12-24,-129051,-2422,222817,Neutral,Neutral,Neutral,Neutral,26142.099609375,-0.38,Bearish,
2025-12-26,-139153,-13953,274895,Neutral,Bullish,Neutral,Neutral,26042.30078125,-0.38,Bearish,
2025-12-29,-154940,-18961,274013,Neutral,Neutral,Bullish,Bearish,25942.099609375,-0.01,Bearish,
2025-12-30,-144062,-31118,235064,Bullish,Neutral,Bullish,Bearish,25938.849609375,0.74,Bullish,Correct
2025-12-31,-145886,12948,239241,Bullish,Bullish,Bullish,Bearish,26129.599609375,0.06,Bullish,Correct
2026-01-01,-143926,13356,221309,Bullish,Bullish,Neutral,Neutral,26146.55078125,0.7,Bullish,Correct
2026-01-02,-130246,68310,156249,Bullish,Bullish,Bullish,Bearish,26328.55078125,-0.3,Bearish,Incorrect
2026-01-05,-128023,-2053,211205,Neutral,Neutral,Neutral,Neutral,26250.30078125,-0.27,Bearish,
2026-01-06,-127888,34403,218676,Bullish,Bullish,Bullish,Bearish,26178.69921875,-0.14,Bearish,Incorrect
2026-01-07,-136272,19451,223340,Neutral,Bullish,Neutral,Neutral,26140.75,-1.01,Bearish,
2026-01-08,-167347,-82137,255381,Neutral,Neutral,Neutral,Neutral,25876.849609375,-0.75,Bearish,
2026-01-09,-186063,-29047,285421,Bullish,Bullish,Neutral,Neutral,25683.30078125,0.42,Bullish,Correct
