date,day_of_week,expiry_type,chart,nifty_open,nifty_high,nifty_low,nifty_close,vix_open,vix_close,vix_predicted_move_pct,actual_range_pct,actual_open_close_pct,intraday_high_pct,intraday_low_pct,range_vs_vix_ratio,diff_pct,vix_accuracy,move_direction,close_in_prev_range,prev_close_to_close_pct,fii_fut_idx_net,fii_call_net,fii_put_net,FII_Direction,DII_Direction,Pro_Direction,Client_Direction,Nifty_Close,Nifty_Change_Pct,Market_Direction,FII_Correct,t1_fii_fut_idx_net,t1_fii_call_net,t1_fii_put_net,t1_FII_Direction,fii_pcr,fii_net_sentiment,fii_put_change,is_blowout,fii_direction_matches_market,consensus_count,t1_fii_pcr,vix_change
2025-10-28,Tuesday,monthly,▅↓▁↑█↓▅ 📉,25939.95,26041.7,25810.05,25936.2,11.86,11.95,0.62,0.89,0.01,0.39,0.5,1.44,0.27,Overestimated,Top to Down,Yes,0.17,-92166,-14133,178320,Bullish,Neutral,Neutral,Neutral,25936.19921875,0.45,Bullish,Correct,-107632,49704,231924,Bullish,12.617278709403523,-284619,-66706.0,0,1,1,4.6661033317238045,0.08999999999999986
2025-11-04,Tuesday,weekly,▇↓▁↑█↓▂ 📉,25744.75,25787.4,25578.4,25597.65,12.67,12.65,0.66,0.81,0.57,0.17,0.65,1.22,0.15,Overestimated,Top to Down,No,-1.08,-135218,11181,243162,Neutral,Bullish,Neutral,Neutral,25597.650390625,-0.34,Bearish,,-124827,9676,218944,Bullish,21.747786423396835,-367199,64842.0,0,0,0,22.627532038032246,-0.019999999999999574
2025-11-11,Tuesday,weekly,▅↓▁↑█↓▇ 📈,25617.0,25715.8,25449.25,25694.95,12.3,12.49,0.64,1.04,0.3,0.39,0.65,1.62,0.4,Overestimated,Down to Up,No,0.73,-159830,1836,224249,Bullish,Bullish,Bullish,Bearish,25694.94921875,0.7,Bullish,Correct,-156707,-11044,251578,Neutral,122.13997821350763,-382243,-18913.0,0,1,3,22.77960883737776,0.1899999999999995
2025-11-18,Tuesday,weekly,█↓▁↑█↓▃ 📉,26021.8,26029.85,25876.5,25910.05,11.79,12.1,0.62,0.59,0.43,0.03,0.56,0.95,-0.03,Overestimated,Top to Down,Yes,0.12,-168789,-13812,230801,Neutral,Bullish,Neutral,Neutral,25910.05078125,0.55,Bullish,,-169285,31435,230962,Bullish,16.710179554011006,-413402,6552.0,0,0,1,7.34728805471608,0.3100000000000005
2025-11-25,Tuesday,monthly,▇↓▁↑█↓▂ 📉,25998.5,26032.6,25857.5,25884.8,13.24,12.24,0.69,0.67,0.44,0.13,0.54,0.97,-0.02,Overestimated,Top to Down,No,-1.17,-94689,-51812,258250,Bullish,Neutral,Bullish,Bearish,25884.80078125,1.24,Bullish,Correct,-161697,5080,289017,Neutral,4.98436655601019,-404751,27449.0,0,1,2,56.89311023622047,-1.0
2025-12-02,Tuesday,weekly,▅↓▁↑█↓▃ 📉,26087.95,26154.6,25997.85,26032.2,11.63,11.23,0.61,0.6,0.21,0.26,0.35,0.99,-0.01,Overestimated,Top to Down,No,-0.7,-99859,-26530,265296,Neutral,Neutral,Bullish,Neutral,26032.19921875,-0.18,Bearish,,-87170,-12587,265161,Neutral,9.999849227289861,-391685,7046.0,0,0,0,21.06625883848415,-0.40000000000000036
2025-12-09,Tuesday,weekly,▆↓▁↑█↓▅ 📉,25867.1,25923.65,25728.0,25839.65,11.13,10.95,0.58,0.76,0.11,0.22,0.54,1.3,0.17,Overestimated,Top to Down,No,-0.75,-142498,-42900,314190,Bullish,Bullish,Neutral,Bearish,25839.650390625,-0.32,Bearish,Incorrect,-138529,-114170,331461,Neutral,7.323776223776224,-499588,48894.0,0,0,1,2.9032232635543487,-0.1800000000000015
2025-12-16,Tuesday,weekly,▇↓▁↑█↓▂ 📉,25951.5,25980.75,25834.35,25860.1,10.25,10.06,0.54,0.56,0.35,0.11,0.45,1.05,0.03,Overestimated,Top to Down,Yes,-0.15,-156845,-27383,291214,Neutral,Bullish,Bearish,Neutral,25860.099609375,-0.16,Bearish,,-147925,-5619,235733,Neutral,10.634846437570756,-475442,-22976.0,0,0,1,41.952838583377826,-0.1899999999999995
2025-12-23,Tuesday,weekly,▆↓▁↑█↓▅ 📉,26205.2,26233.55,26119.05,26177.15,9.68,9.38,0.51,0.44,0.11,0.11,0.33,0.86,-0.07,Overestimated,Top to Down,No,1.4,-133758,21392,204129,Neutral,Neutral,Neutral,Neutral,26177.150390625,-0.13,Bearish,,-144701,58157,200696,Bullish,9.542305534779358,-316495,-87085.0,0,0,0,3.450934539264405,-0.29999999999999893
2025-12-30,Tuesday,monthly,▅↓▁↑█↓▅ 📉,25940.9,25976.75,25878.0,25938.85,9.72,9.68,0.51,0.38,0.01,0.14,0.24,0.75,-0.13,Overestimated,Top to Down,No,-0.78,-144062,-31118,235064,Bullish,Neutral,Bullish,Bearish,25938.849609375,0.74,Bullish,Correct,-154940,-18961,274013,Neutral,7.553955909762839,-410244,30935.0,0,1,2,14.451400242603238,-0.040000000000000924
