date,day_of_week,expiry_type,chart,nifty_open,nifty_high,nifty_low,nifty_close,vix_open,vix_close,vix_predicted_move_pct,actual_range_pct,actual_open_close_pct,intraday_high_pct,intraday_low_pct,range_vs_vix_ratio,diff_pct,vix_accuracy,move_direction,close_in_prev_range,prev_close_to_close_pct,close_vs_prev_range,t1_fii_fut_daily,t1_fii_call_daily,t1_fii_put_daily,t1_fii_stance,t1_pro_fut_daily,t1_pro_call_daily,t1_pro_put_daily,t1_pro_stance,expiry_risk_level,observation
2022-12-22,Thursday,weekly,▇↓▁↑█↓▃ 📉,18288.8,18318.75,18068.6,18127.35,15.56,15.19,0.81,1.37,0.88,0.16,1.2,1.68,0.55,Underestimated,Top to Down,No,-0.39,Below Low,-5529,-22199,47656,FII Hedging (bought puts >20K),3537,-298214,111388,PRO Hedging (bought puts >20K),HIGH (50% blowout history),BLOWOUT Top to Down | Actual 1.37% vs VIX predicted 0.81% (miss: +0.55%)
2022-12-29,Thursday,monthly,▃↓▁↑█↓▇ 📈,18045.7,18229.7,17992.8,18191.0,15.4,14.81,0.81,1.31,0.81,1.02,0.29,1.63,0.51,Underestimated,Down to Up,No,0.38,Above High,3425,1231,-6419,FII Neutral,6419,-112123,-261,PRO Mildly Bearish,LOW (9% blowout history),BLOWOUT Down to Up | Actual 1.31% vs VIX predicted 0.81% (miss: +0.51%)
2023-01-05,Thursday,weekly,▇↓▁↑█↓▄ 📉,18101.95,18120.3,17892.6,17992.15,15.2,14.98,0.8,1.26,0.61,0.1,1.16,1.58,0.46,Overestimated,Top to Down,No,-0.28,Below Low,-27503,-88167,83736,FII Very Bearish (sold fut >10K + bought puts >20K),18443,-376195,79074,PRO Hedging (bought puts >20K),HIGH (50% blowout history),Normal day | VIX prediction was accurate within 0.5%
2023-01-12,Thursday,weekly,▇↓▁↑█↓▅ 📉,17920.85,17945.8,17761.65,17858.2,15.44,15.28,0.81,1.03,0.35,0.14,0.89,1.27,0.22,Overestimated,Top to Down,Yes,-0.21,Within Range,-1883,11183,-18674,FII Neutral,-3388,33831,-135276,PRO Confident (sold puts >20K),LOW (9% blowout history),Normal day | VIX prediction was accurate within 0.5%
2023-01-19,Thursday,weekly,▅↓▁↑█↓▄ 📉,18119.8,18155.2,18063.75,18107.85,14.37,13.96,0.75,0.5,0.07,0.2,0.31,0.67,-0.25,Overestimated,Top to Down,Yes,-0.32,Within Range,19958,46925,-110239,FII Bullish (bought fut + sold puts),-2470,42234,-197755,PRO Confident (sold puts >20K),SAFE (0% blowout history),Normal day | VIX prediction was accurate within 0.5%
2023-01-25,Wednesday,monthly,█↓▁↑█↓▂ 📉,18093.35,18100.6,17846.15,17891.95,13.66,14.66,0.72,1.41,1.11,0.04,1.37,1.97,0.69,Underestimated,Top to Down,No,-1.25,Below Low,5748,26428,67837,FII Hedging (bought puts >20K),3140,-31368,86739,PRO Hedging (bought puts >20K),HIGH (50% blowout history),BLOWOUT Top to Down | Actual 1.41% vs VIX predicted 0.72% (miss: +0.69%)
2023-02-02,Thursday,weekly,▃↓▁↑█↓▇ 📈,17517.1,17653.9,17445.95,17610.4,16.78,15.73,0.88,1.19,0.53,0.78,0.41,1.35,0.31,Overestimated,Down to Up,Yes,-0.03,Within Range,7826,-96805,-48121,FII Confident (sold puts >20K),13009,-92155,66112,PRO Hedging (bought puts >20K),SAFE (0% blowout history),Normal day | VIX prediction was accurate within 0.5%
2023-02-09,Thursday,weekly,▆↓▁↑█↓▇ 📈,17885.5,17916.9,17779.8,17893.45,13.6,13.04,0.71,0.77,0.04,0.18,0.59,1.08,0.05,Overestimated,Down to Up,Yes,0.12,Within Range,13996,-44739,-33377,FII Bullish (bought fut + sold puts),-601,13277,-220609,PRO Confident (sold puts >20K),SAFE (0% blowout history),Normal day | VIX prediction was accurate within 0.5%
2023-02-16,Thursday,weekly,▆↓▁↑█↓▃ 📉,18094.75,18134.75,18000.65,18035.85,12.86,12.89,0.67,0.74,0.33,0.22,0.52,1.1,0.07,Overestimated,Top to Down,No,0.11,Above High,-2582,-3119,18095,FII Neutral,-617,-23978,-183766,PRO Confident (sold puts >20K),LOW (9% blowout history),Normal day | VIX prediction was accurate within 0.5%
2023-02-23,Thursday,monthly,▆↓▁↑█↓▃ 📉,17574.65,17620.05,17455.4,17511.25,15.59,15.08,0.82,0.94,0.36,0.26,0.68,1.15,0.12,Overestimated,Top to Down,No,-0.25,Below Low,-30254,7385,79286,FII Very Bearish (sold fut >10K + bought puts >20K),-109,-253144,-30977,PRO Confident (sold puts >20K),HIGH (50% blowout history),Normal day | VIX prediction was accurate within 0.5%
2023-03-02,Thursday,weekly,▇↓▁↑█↓▂ 📉,17421.5,17445.8,17306.0,17321.9,13.0,12.97,0.68,0.8,0.57,0.14,0.66,1.18,0.12,Overestimated,Top to Down,No,-0.74,Below Low,6163,28691,-6411,FII Neutral,-12897,224107,-152398,PRO Bearish (sold fut >10K),LOW (9% blowout history),Normal day | VIX prediction was accurate within 0.5%
2023-03-09,Thursday,weekly,█↓▁↑█↓▂ 📉,17772.05,17772.35,17573.6,17589.6,12.45,12.73,0.65,1.12,1.03,0.0,1.12,1.72,0.47,Overestimated,Top to Down,No,-0.93,Below Low,-6202,37288,18794,FII Neutral,7580,38986,-234028,PRO Confident (sold puts >20K),LOW (9% blowout history),Normal day | VIX prediction was accurate within 0.5%
2023-03-16,Thursday,weekly,▆↓▁↑█↓▅ 📉,16994.65,17062.45,16850.15,16985.6,16.3,16.22,0.85,1.25,0.05,0.4,0.85,1.46,0.4,Overestimated,Top to Down,Yes,0.08,Within Range,854,-59400,-67184,FII Confident (sold puts >20K),4207,-59858,23575,PRO Hedging (bought puts >20K),SAFE (0% blowout history),Normal day | VIX prediction was accurate within 0.5%
2023-03-23,Thursday,weekly,▃↓▁↑█↓▂ 📉,17097.4,17205.4,17045.3,17076.9,14.81,14.49,0.78,0.94,0.12,0.63,0.3,1.21,0.16,Overestimated,Top to Down,No,-0.44,Below Low,-878,-91246,-46631,FII Confident (sold puts >20K),2776,12436,3286,PRO Neutral,SAFE (0% blowout history),Normal day | VIX prediction was accurate within 0.5%
2023-03-29,Wednesday,monthly,▂↓▁↑█↓▆ 📈,16977.3,17126.15,16940.6,17080.7,15.1,13.63,0.79,1.09,0.61,0.88,0.22,1.38,0.3,Overestimated,Down to Up,No,0.76,Above High,-10122,-12606,-38840,FII Bearish (sold fut >10K),5934,89441,10344,PRO Neutral,HIGH (50% blowout history),Normal day | VIX prediction was accurate within 0.5%
2023-04-06,Thursday,weekly,▃↓▁↑█↓▆ 📈,17533.85,17638.7,17502.85,17599.15,12.41,11.8,0.65,0.77,0.37,0.6,0.18,1.19,0.13,Overestimated,Down to Up,No,0.24,Above High,31346,102894,7512,FII Mildly Bullish,-463,-9529,-238135,PRO Confident (sold puts >20K),LOW (9% blowout history),Normal day | VIX prediction was accurate within 0.5%
2023-04-13,Thursday,weekly,▆↓▁↑█↓▇ 📈,17807.3,17842.15,17729.65,17828.0,12.27,11.91,0.64,0.63,0.12,0.2,0.44,0.98,-0.01,Overestimated,Down to Up,No,0.09,Above High,18721,-20366,10212,FII Mildly Bullish,5365,24046,-124813,PRO Confident (sold puts >20K),LOW (9% blowout history),Normal day | VIX prediction was accurate within 0.5%
2023-04-20,Thursday,weekly,▅↓▁↑█↓▄ 📉,17638.6,17684.45,17584.35,17624.45,12.15,11.94,0.64,0.57,0.08,0.26,0.31,0.89,-0.07,Overestimated,Top to Down,Yes,0.03,Within Range,-3052,9826,-23826,FII Confident (sold puts >20K),-2739,-61437,-54536,PRO Confident (sold puts >20K),SAFE (0% blowout history),Normal day | VIX prediction was accurate within 0.5%
2023-04-27,Thursday,monthly,▂↓▁↑█↓▇ 📈,17813.1,17931.6,17797.9,17915.05,11.65,11.43,0.61,0.75,0.57,0.67,0.09,1.23,0.14,Overestimated,Down to Up,No,0.57,Above High,632,48906,-2442,FII Neutral,19815,19307,-151222,PRO Bullish (bought fut + sold puts),LOW (9% blowout history),Normal day | VIX prediction was accurate within 0.5%
2023-05-04,Thursday,weekly,▁↑▁↑█→█ 📈,18081.0,18267.45,18066.7,18255.8,11.84,11.73,0.62,1.11,0.97,1.03,0.08,1.79,0.49,Overestimated,Down to Up,No,0.92,Above High,-15957,48450,39129,FII Very Bearish (sold fut >10K + bought puts >20K),3624,-9594,6773,PRO Neutral,HIGH (50% blowout history),Normal day | VIX prediction was accurate within 0.5%
2023-05-11,Thursday,weekly,▆↓▁↑█↓▃ 📉,18357.8,18389.7,18270.4,18297.0,13.08,13.22,0.68,0.65,0.33,0.17,0.48,0.95,-0.03,Overestimated,Top to Down,Yes,-0.1,Within Range,3511,55519,-6883,FII Neutral,-7054,151348,-122351,PRO Confident (sold puts >20K),LOW (9% blowout history),Normal day | VIX prediction was accurate within 0.5%
2023-05-18,Thursday,weekly,█↓▁↑█↓▂ 📉,18287.5,18297.2,18104.85,18129.95,13.11,12.8,0.69,1.05,0.86,0.05,1.0,1.53,0.37,Overestimated,Top to Down,Yes,-0.28,Within Range,-6156,-65446,43385,FII Hedging (bought puts >20K),-9416,-53510,23233,PRO Hedging (bought puts >20K),HIGH (50% blowout history),Normal day | VIX prediction was accurate within 0.5%
2023-05-25,Thursday,monthly,▄↓▁↑█↓▇ 📈,18268.9,18338.1,18202.4,18321.15,13.11,12.52,0.69,0.74,0.29,0.38,0.36,1.08,0.06,Overestimated,Down to Up,Yes,0.2,Within Range,-4364,-34871,31495,FII Hedging (bought puts >20K),8395,-218582,94637,PRO Hedging (bought puts >20K),HIGH (50% blowout history),Normal day | VIX prediction was accurate within 0.5%
2023-06-01,Thursday,weekly,█↓▁↑█↓▂ 📉,18579.4,18580.3,18464.55,18487.75,11.97,11.6,0.63,0.62,0.49,0.0,0.62,0.99,-0.0,Overestimated,Top to Down,Yes,-0.25,Within Range,-21752,3856,153727,FII Very Bearish (sold fut >10K + bought puts >20K),4856,-157046,195186,PRO Hedging (bought puts >20K),HIGH (50% blowout history),Normal day | VIX prediction was accurate within 0.5%
2023-06-08,Thursday,weekly,▆↓▁↑█↓▂ 📉,18725.35,18777.9,18615.6,18634.55,11.44,11.26,0.6,0.87,0.48,0.28,0.59,1.45,0.27,Overestimated,Top to Down,No,-0.49,Below Low,8579,38297,-51282,FII Confident (sold puts >20K),-1930,-1585,-208181,PRO Confident (sold puts >20K),SAFE (0% blowout history),Normal day | VIX prediction was accurate within 0.5%
2023-06-15,Thursday,weekly,▇↓▁↑█↓▂ 📉,18774.45,18794.1,18669.05,18688.1,11.16,11.08,0.58,0.67,0.46,0.1,0.56,1.14,0.08,Overestimated,Top to Down,No,-0.36,Below Low,8227,-3465,-4786,FII Neutral,-1274,-160181,-25348,PRO Confident (sold puts >20K),LOW (9% blowout history),Normal day | VIX prediction was accurate within 0.5%
